Grant_Numbers,records,percent_of_total
CA078802,16,0.053
G1000143,16,0.053
HL080295,16,0.053
HL35464,16,0.053
KL2TR001424,16,0.053
MC_U130059821,16,0.053
R01-HL-53560,16,0.053
RR0636,16,0.053
134309,15,0.05
CA50385,15,0.05
HL38844,15,0.05
MC_U106179473,15,0.05
MC_UU_12015/5,15,0.05
N01-HC-65226,15,0.05
N01-HC-85082,15,0.05
N01-HC-85085,15,0.05
N01-HC48050,15,0.05
P20GM109036,15,0.05
P30DK56350,15,0.05
R01 CA085846,15,0.05
R01 HL078972,15,0.05
R01-HD30880,15,0.05
RD06/0045,15,0.05
RR00865,15,0.05
U54MD008176,15,0.05
UL1RR024134,15,0.05
UM1 CA176726,15,0.05
01 06 0115.00 SP,14,0.046
DA02277,14,0.046
DK56350,14,0.046
ES/J019119/1,14,0.046
HI13C0715,14,0.046
HL076852,14,0.046
HL25767,14,0.046
K013351,14,0.046
K07CA126837,14,0.046
N01-HV-68162,14,0.046
N01-HV-68163,14,0.046
R01 CA048998-10,14,0.046
R01 HL074814-07,14,0.046
R01-DK57508,14,0.046
T32 HD007168,14,0.046
T32 HL007779,14,0.046
UL1 TR000040,14,0.046
UL1-RR-024156,14,0.046
UL1TR000003,14,0.046
UL1TR000439,14,0.046
UL1TR001105,14,0.046
01 06 0010.00 RS,13,0.043
01 06 0071.00 RJ,13,0.043
01 06 0212.00 BA,13,0.043
01 06 0300.00 ES,13,0.043
200-2003-01580,13,0.043
58-1950-7-707,13,0.043
62705,13,0.043
G9815508,13,0.043
HHSN268201700002I,13,0.043
HL-30086,13,0.043
HL53359,13,0.043
MC_UU_12015/3,13,0.043
N01-HC-15103,13,0.043
N01-HV-68161,13,0.043
N01HC55016,13,0.043
N01HC55018,13,0.043
N01HC55019,13,0.043
N01HC55020,13,0.043
N01HC55021,13,0.043
N01HC55022,13,0.043
NO1-HC-48049,13,0.043
NO1-HC-95095,13,0.043
P01 HL047540,13,0.043
R01 DK057508-01,13,0.043
R01 DK057508-03S2,13,0.043
R01 HL117323,13,0.043
R01-HD38700,13,0.043
R01HL095799,13,0.043
RD831697,13,0.043
RES-596-28-0001,13,0.043
RG/10/005/28296,13,0.043
U01-MH57716,13,0.043
UL1 RR025008,13,0.043
UL1TR000005,13,0.043
1,12,0.04
01 06 0278.00 MG,12,0.04
AG-027058,12,0.04
CA016672,12,0.04
CA078682,12,0.04
K12HD043451,12,0.04
N01-HC-85084,12,0.04
N01-HC-85239,12,0.04
N01HC55015,12,0.04
N01HC95169,12,0.04
P30 DA027827,12,0.04
R01 CA061757,12,0.04
R01 DK057508-01S1,12,0.04
R01 DK057508-02,12,0.04
R01 DK057508-03,12,0.04
R01 DK057508-03S1,12,0.04
R01 HL074814-04,12,0.04
R01 HL074814-05,12,0.04
R01 HL074814-06,12,0.04
R01 HL079235,12,0.04
R01HL036310,12,0.04
R01HL114091,12,0.04
R24 HD042828,12,0.04
R44DK103377,12,0.04
RG/13/2/30098,12,0.04
RR-024156,12,0.04
T32HL007779,12,0.04
U01-HL41642,12,0.04
UL1 TR000124,12,0.04
UL1TR001881,12,0.04
117797,11,0.036
14SFRN20740000,11,0.036
286284,11,0.036
5 R24 HD050924,11,0.036
81273083,11,0.036
AG-023629,11,0.036
CA85846,11,0.036
HEALTH-F4-2007-201413,11,0.036
HHSN268201800010I,11,0.036
HHSN268201800012I,11,0.036
HHSN268201800013I,11,0.036
HHSN268201800014I,11,0.036
HL 53359,11,0.036
HL065581,11,0.036
HL065591,11,0.036
HL076858,11,0.036
K24 DK080140,11,0.036
MC_UU_12013/1,11,0.036
MC_UU_12019/1,11,0.036
MC_UU_12019/2,11,0.036
MR/K026992/1,11,0.036
N01 HC048050,11,0.036
N01-HC-55222,11,0.036
P01 CA87969,11,0.036
P30 AG017265,11,0.036
PF/10/014,11,0.036
PI070240,11,0.036
PI13/00462,11,0.036
R01 CA085846-06,11,0.036
R01-AG028050,11,0.036
RG/08/008/25291,11,0.036
U01 AG027810,11,0.036
U01-HL41652,11,0.036
U01HG004802,11,0.036
U19 AG051426,11,0.036
U54HD070725,11,0.036
UL1 RR024153,11,0.036
UL1RR029879,11,0.036
UM1 CA186107,11,0.036
Z1AES103325-01,11,0.036
01 06 0010.00,10,0.033
01 06 0278.00,10,0.033
01 06 0300.00,10,0.033
01ZZ0403,10,0.033
087636/Z/08/Z,10,0.033
1003960,10,0.033
33CSCO-122661,10,0.033
45/2011,10,0.033
70017,10,0.033
77841,10,0.033
91811602,10,0.033
AG-20098,10,0.033
AG16592,10,0.033
CA078762,10,0.033
CA58420,10,0.033
DK50456,10,0.033
HHSN26120080001E,10,0.033
HHSN268201800011I,10,0.033
HL54471,10,0.033
K01-HD044263,10,0.033
K01AG041787,10,0.033
K23HL110216,10,0.033
M01 RR000645,10,0.033
M01-RR00052,10,0.033
M01-RR00425,10,0.033
MC_U130015185,10,0.033
MC_UP_A100_1003,10,0.033
MC_UP_A540_1021,10,0.033
N01 HC048047,10,0.033
N01 HC048049,10,0.033
N01-HC-84047,10,0.033
N01-HC-84048,10,0.033
N01-HV-68164,10,0.033
N01HC95165,10,0.033
N01HC95166,10,0.033
N02-HL-6-4278,10,0.033
NO1-HC-48047,10,0.033
NO1-HC-48048,10,0.033
NO1-HC-95159,10,0.033
P60MD006902,10,0.033
R01 HL 53560,10,0.033
R01 HL122477,10,0.033
R01-AG034588,10,0.033
R01-CA770403,10,0.033
R01-HL098445,10,0.033
R01-NR012459,10,0.033
R01AG013196,10,0.033
R01MD004113,10,0.033
RR024153,10,0.033
T32 HL07779,10,0.033
T32-MH19925,10,0.033
U01 AG012535,10,0.033
U01 AG012553,10,0.033
U01 AG012554,10,0.033
U01 AG18197,10,0.033
U01 AR45580,10,0.033
U01 AR45583,10,0.033
U01 AR45632,10,0.033
U01 AR45647,10,0.033
U01 AR45654,10,0.033
U01-HL41654,10,0.033
U01HG004790,10,0.033
U01HG004801,10,0.033
U01HG004803,10,0.033
U01HL090864,10,0.033
UL1 RR024140,10,0.033
UL1TR000427,10,0.033
UL1TR000433,10,0.033
UL1TR000445,10,0.033
Z121107001012015,10,0.033
01 06 0071.00,9,0.03
01 06 0115.00,9,0.03
01 06 0212.00,9,0.03
17209023,9,0.03
2014TS051,9,0.03
21249043,9,0.03
374241,9,0.03
58-1950-0-014,9,0.03
58-6250-6-003,9,0.03
62000010,9,0.03
81373074,9,0.03
81402752,9,0.03
81673260,9,0.03
AG-15928,9,0.03
G0846.11,9,0.03
HHSN268201600001C,9,0.03
HHSN268201600003C,9,0.03
HL087652,9,0.03
HL28266,9,0.03
HL30086,9,0.03
HL36005,9,0.03
HL54473,9,0.03
HL54496,9,0.03
HL60712,9,0.03
K01AG047273,9,0.03
K23 AI066943,9,0.03
M10RR0047-34,9,0.03
MC_U106179474,9,0.03
MC_U130059811,9,0.03
MC_U130059823,9,0.03
N01 HC048048,9,0.03
NO1-HC-48050,9,0.03
NO1-HC-95165,9,0.03
P30 DK048520,9,0.03
P60-DK020595,9,0.03
P60MD000214,9,0.03
PI13/00615,9,0.03
R01 CA048998-11,9,0.03
R01 CA048998-12A2,9,0.03
R01 CA058420,9,0.03
R01 CA078682,9,0.03
R01 DK106201,9,0.03
R01-CA109831,9,0.03
R01-HD062547,9,0.03
R01-HL70825,9,0.03
R01HL084064,9,0.03
R01HL116892,9,0.03
R21 DA024273,9,0.03
R24 HD041028,9,0.03
R24 HD042828-10,9,0.03
R37CA54281,9,0.03
RR00827,9,0.03
SPHSU2,9,0.03
T32 HL007560,9,0.03
T32 HL069771,9,0.03
U01 AG012505,9,0.03
U01 AG012546,9,0.03
U01DK060980,9,0.03
U01HG004798,9,0.03
U01HL130114,9,0.03
UL1 RR024156,9,0.03
UM1 CA167552,9,0.03
X51001,9,0.03
Z99 HD999999,9,0.03
02816-7,8,0.026
050-060-810,8,0.026
2007032,8,0.026
2011400302,8,0.026
2012BAI02B02,8,0.026
211316,8,0.026
278901,8,0.026
49735,8,0.026
633666,8,0.026
7131014,8,0.026
81070171,8,0.026
81241121,8,0.026
AG023397,8,0.026
CA 078762,8,0.026
CA49449,8,0.026
DA035811-05,8,0.026
DK31801,8,0.026
ES/G002452/1,8,0.026
G0000934,8,0.026
G0700704,8,0.026
G0700704B,8,0.026
HHSN268201600002C,8,0.026
HHSN268201600004C,8,0.026
HL 68041,8,0.026
HL-43758,8,0.026
HL007560,8,0.026
HL060894,8,0.026
HL060944,8,0.026
HL061019,8,0.026
HL078885,8,0.026
HL098297,8,0.026
HL105756,8,0.026
HL125666,8,0.026
HL34594,8,0.026
HL54472,8,0.026
HL54509,8,0.026
HL54515,8,0.026
K23DK083440,8,0.026
K24123565,8,0.026
M01 RR07122,8,0.026
M01-RR00054,8,0.026
M01RR30,8,0.026
MC_U105960389,8,0.026
MC_UU_12013/5,8,0.026
ME-02-384,8,0.026
MO1-RR00425,8,0.026
MR/K006584/1,8,0.026
MR/K023187/1,8,0.026
N01 HC095163,8,0.026
N01-HC-05102,8,0.026
N01-HC-48047-48050,8,0.026
N01HC05187,8,0.026
N01HC25195,8,0.026
NF-SI-0512-10135,8,0.026
NIH DK56350,8,0.026
NO1-HC-95169,8,0.026
P01 HL040962,8,0.026
P01-HL36587,8,0.026
P01CA33619,8,0.026
P01HL36587,8,0.026
P30-DK56336,8,0.026
P42ES010349,8,0.026
PI040233,8,0.026
PI10/02658,8,0.026
QLG1-CT-2001-01252,8,0.026
R01 AG026364,8,0.026
R01 CA078682-07,8,0.026
R01 CA144034,8,0.026
R01 HL071194,8,0.026
R01 HL080674,8,0.026
R01 HL087652,8,0.026
R01 HL095799,8,0.026
R01-AA12162,8,0.026
R01-AG026364,8,0.026
R01-CA119159,8,0.026
R01-HL-098445,8,0.026
R01-HL079955,8,0.026
R01AG016592,8,0.026
R01ES021735,8,0.026
R01HL105647,8,0.026
R01HL121230,8,0.026
RD 06/0045,8,0.026
RR00046,8,0.026
RR20649,8,0.026
T32HL007713,8,0.026
U01 AG012495,8,0.026
U01 AG012531,8,0.026
U01 AG012539,8,0.026
U01 HL41642,8,0.026
U01 HL41652,8,0.026
U01 HL41654,8,0.026
U01 HL65520,8,0.026
U01 HL65521,8,0.026
U01 HL66682,8,0.026
U01 NR04061,8,0.026
U01-HL65521,8,0.026
U01DK060902,8,0.026
U01DK060963,8,0.026
U01DK060984,8,0.026
U01DK060990,8,0.026
U01DK061021,8,0.026
U01DK061022,8,0.026
U01DK061028,8,0.026
U19-AG051426,8,0.026
U54 GM104940,8,0.026
UL1 RR-024131,8,0.026
UL1 TR000445,8,0.026
UL1 TR001079,8,0.026
UL1RR025755,8,0.026
01ZZ0103,7,0.023
01ZZ9603,7,0.023
1 P20 RR020173-01,7,0.023
1 U54 GM104940,7,0.023
100499,7,0.023
100849,7,0.023
1059156,7,0.023
124322,7,0.023
16491,7,0.023
1R01HL128914,7,0.023
1U58 DP000807-01,7,0.023
2 UL1 TR000445-06,7,0.023
2005-E71013-00,7,0.023
2006-E71002-00,7,0.023
2007-E71013-00,7,0.023
2.01111E+13,7,0.023
2011BAI09B01,7,0.023
2013ACUP00194,7,0.023
23249036,7,0.023
263 MD 821336,7,0.023
278186,7,0.023
2K24HL04334,7,0.023
2R01HL092577,7,0.023
31309304,7,0.023
31O.041,7,0.023
569940,7,0.023
755320,7,0.023
7PB-0068,7,0.023
A2017181,7,0.023
AG 11412,7,0.023
AG019362,7,0.023
AG030309,7,0.023
AG07181,7,0.023
APP1008299,7,0.023
AT006694,7,0.023
CA-34944,7,0.023
CA058420,7,0.023
CA14002,7,0.023
CA63446,7,0.023
CA77305,7,0.023
D084526-03,7,0.023
DA021898,7,0.023
DA12393,7,0.023
DAMD17-96-1-6071,7,0.023
DK088195,7,0.023
ERC-2011-StG_20101124,7,0.023
ES10126,7,0.023
FT100100581,7,0.023
G0601647,7,0.023
G1001354,7,0.023
G1001799,7,0.023
GM33289,7,0.023
HD 34568,7,0.023
HHSN268201800015I/HHSN26800001,7,0.023
HL 62705,7,0.023
HL-26490,7,0.023
HL-34595,7,0.023
HL040962,7,0.023
HL071561,7,0.023
HL076784,7,0.023
HL076852/076858,7,0.023
HL088133,7,0.023
HL127307,7,0.023
HL44915,7,0.023
HL54495,7,0.023
HL54776,7,0.023
ICS110.1/RF97.71,7,0.023
K01HL138211,7,0.023
K05 CA136975,7,0.023
K23 HL092229,7,0.023
K23DK081673,7,0.023
K24HL077506,7,0.023
KL2TR000160,7,0.023
M01-RR00032,7,0.023
M01-RR00039,7,0.023
M01-RR00051,7,0.023
M01RR00051,7,0.023
MC_PC_15018,7,0.023
MC_UU_12017/5,7,0.023
MH15750,7,0.023
N01 HC045134,7,0.023
N01 HC095095,7,0.023
N01-HC-84049,7,0.023
N01-HC-95100,7,0.023
N02-HL-64278,7,0.023
NET-2011-02347173,7,0.023
NNF10CC1016515,7,0.023
NR004281,7,0.023
P06-CTS-01425,7,0.023
P30 AG015281,7,0.023
P30 AG028748,7,0.023
PI081943,7,0.023
R01 CA092447,7,0.023
R01 CA39742,7,0.023
R01 ES008977,7,0.023
R01 ES010932,7,0.023
R01 HD030588,7,0.023
R01 HD034568,7,0.023
R01 HD050625,7,0.023
R01 HL 078972,7,0.023
R01 HL034594,7,0.023
R01 HL070837,7,0.023
R01 HL070838,7,0.023
R01 HL070839,7,0.023
R01 HL070841,7,0.023
R01 HL070842,7,0.023
R01 HL070848,7,0.023
R01 HL076784,7,0.023
R01 HL104580,7,0.023
R01 HL67348,7,0.023
R01-CA121152,7,0.023
R01-HL-065611,7,0.023
R01-HL065611,7,0.023
R01-HL077612,7,0.023
R01-HL131532,7,0.023
R01DK098072,7,0.023
R01HD-32562,7,0.023
R01HD057194,7,0.023
R01HL098433,7,0.023
R01HL131532,7,0.023
R01HL134168,7,0.023
R01MD007716,7,0.023
R01NS080850,7,0.023
R21 HL085375,7,0.023
R21ES022931,7,0.023
R24 HD047861,7,0.023
R24 HL076852,7,0.023
R24-HD041022,7,0.023
R24HD050924,7,0.023
RR00645,7,0.023
RTIC G03/140,7,0.023
SALUD-2002-C01-7462,7,0.023
T32 AG000037,7,0.023
T32 CA009314,7,0.023
T32 HL07560,7,0.023
T32MH075854-04,7,0.023
U01 AR45614,7,0.023
U01 DP000143-01,7,0.023
U01 HL072494,7,0.023
U01 NR004061,7,0.023
U01-HL65520,7,0.023
U01CA136792,7,0.023
U01CA98758,7,0.023
U01HL090875,7,0.023
U54 CA116849,7,0.023
U54GM104940,7,0.023
UL1 RR025758,7,0.023
UL1 TR000135,7,0.023
UL1 TR000454,7,0.023
UL1 TR001082,7,0.023
UL1RR024131,7,0.023
UL1TR000114,7,0.023
Z01 HD000641-12,7,0.023
01 EA 9401,6,0.02
100177,6,0.02
1042442,6,0.02
104781,6,0.02
1061404,6,0.02
118555,6,0.02
11ZCGYSY05700,6,0.02
120315,6,0.02
122/2014,6,0.02
124271,6,0.02
13307016,6,0.02
13ZCZDSY20200,6,0.02
14SFRN20480260,6,0.02
17015018,6,0.02
175.010.2005.011,6,0.02
1R03AG032631,6,0.02
2003 D302,6,0.02
2012BAJ18B02,6,0.02
2013-4236,6,0.02
2013-5187,6,0.02
2017A030313452,6,0.02
210283,6,0.02
211069,6,0.02
221S0001,6,0.02
234-2005-370011C,6,0.02
25253046,6,0.02
262120,6,0.02
263 MD 9164,6,0.02
263278,6,0.02
265240,6,0.02
279408,6,0.02
311492,6,0.02
33CS30-139468,6,0.02
379600,6,0.02
403963,6,0.02
403981,6,0.02
53-K06-5-10,6,0.02
544923,6,0.02
569519,6,0.02
5M01 RR00997,6,0.02
633212,6,0.02
911-03-012,6,0.02
974159,6,0.02
991407,6,0.02
A 13307016,6,0.02
AG019360,6,0.02
AG019361,6,0.02
AG023629,6,0.02
AG028321,6,0.02
AG032136,6,0.02
AG08415,6,0.02
AG14759,6,0.02
AGL2009-12270,6,0.02
ALFGBG-427301,6,0.02
APP1072516,6,0.02
BB/L004259/1,6,0.02
CA 078682,6,0.02
CA-32617,6,0.02
CA-40360,6,0.02
CA047988,6,0.02
CB06/03,6,0.02
CTSA-RR024999,6,0.02
DA07484,6,0.02
DK-25446,6,0.02
ES/G007543/1,6,0.02
ES/M001660/1,6,0.02
ES/M008592/1,6,0.02
FOOD-CT-2005-007034,6,0.02
FT120100812,6,0.02
G0100527,6,0.02
GM15431,6,0.02
HD058502,6,0.02
HD29549,6,0.02
HHSN261201000036C,6,0.02
HHSN268200900033C,6,0.02
HHSN268201600018C,6,0.02
HHSN268201800001C,6,0.02
HHSN275201200001I,6,0.02
HL 45508,6,0.02
HL043851,6,0.02
HL060931,6,0.02
HL061210,6,0.02
HL072810,6,0.02
HL080467,6,0.02
HL33211,6,0.02
HL41642,6,0.02
HL41652,6,0.02
HL41654,6,0.02
HL54497,6,0.02
HL65521,6,0.02
IAG_BSR06-11,6,0.02
JCYJ20160307155707264,6,0.02
JCYJ20170302143855721,6,0.02
K01 DK107782,6,0.02
K01-HL120951,6,0.02
K22CA126992,6,0.02
K23 AI066943-05,6,0.02
K24 HL068041,6,0.02
K24DK106414,6,0.02
LSHM-CT-2006-037197,6,0.02
M01 RR-16500,6,0.02
M01 RR00827,6,0.02
M01-RR000865,6,0.02
M01RR0099718-24,6,0.02
M01RR02719-14,6,0.02
MC_U105960384,6,0.02
MC_U106188470,6,0.02
MC_UP_A620_1014,6,0.02
MC_UU_12013/9,6,0.02
MC_UU_12017/1,6,0.02
MD000220,6,0.02
MR/N01104X/1,6,0.02
MRSGT-10-104-01-CPHPS,6,0.02
Metabolic Genetics,6,0.02
N01 HC-95159,6,0.02
N01 HC095160,6,0.02
N01 HC095161,6,0.02
N01 HC095162,6,0.02
N01 HC095165,6,0.02
N01-HC-38038,6,0.02
N01-HV-48195,6,0.02
N01HC95168,6,0.02
NF-SI-0512-10114,6,0.02
NHLBI 33014,6,0.02
NIA U01AG009740,6,0.02
NO1-HC-25195,6,0.02
P01 ES009600,6,0.02
P01 HD031921,6,0.02
P01CA087969,6,0.02
P01_AG005842,6,0.02
P01_AG08291,6,0.02
P20GM104357,6,0.02
P30 DK026687,6,0.02
P30 DK040561-11,6,0.02
P30 DK063491,6,0.02
P30 DK092924,6,0.02
P30-AG017265,6,0.02
P30-ES10126,6,0.02
P30DK056336,6,0.02
P30_AG12815,6,0.02
P50 AG033514,6,0.02
P50 CA084719,6,0.02
P60-DK079626,6,0.02
P60MD000214-01,6,0.02
PI030678,6,0.02
PI10/02293,6,0.02
PI14/01668,6,0.02
PI14/01798,6,0.02
PI16/00501,6,0.02
POCTI/ESP/42361/2001,6,0.02
R01 51931,6,0.02
R01 64415,6,0.02
R01 AG019181,6,0.02
R01 AG021487,6,0.02
R01 AG034588,6,0.02
R01 CA061757-11,6,0.02
R01 CA098497,6,0.02
R01 CCR514375,6,0.02
R01 DA016558,6,0.02
R01 DK65664,6,0.02
R01 HD041375,6,0.02
R01 HL069003,6,0.02
R01 HL077612,6,0.02
R01 HL098604,6,0.02
R01 HL101161,6,0.02
R01 HL108723,6,0.02
R01 MH059575,6,0.02
R01 MH65652,6,0.02
R01 NS 29993,6,0.02
R01 OH004270,6,0.02
R01-HL089637,6,0.02
R01-HL114091,6,0.02
R01-HL134168,6,0.02
R01AG041200,6,0.02
R01AG042164,6,0.02
R01DK081374,6,0.02
R01DK089174,6,0.02
R01ES014234,6,0.02
R01HD069587,6,0.02
R01HL110068,6,0.02
R01HL126136,6,0.02
R01HL36310,6,0.02
R03 HD59584,6,0.02
R03NR010608,6,0.02
R21_AG025169,6,0.02
R24 HD047861-01,6,0.02
R24 HL076858,6,0.02
R25HL105444,6,0.02
R37 HD034568,6,0.02
R56 HL125423,6,0.02
RF-2013-02356787,6,0.02
RG/08/014/24067,6,0.02
RR 024146,6,0.02
RR00036,6,0.02
RR024146,6,0.02
T32 HD049302,6,0.02
T32 HL079891,6,0.02
T32-HL-007779,6,0.02
T32HD049302,6,0.02
T32HD055163,6,0.02
U HD44219,6,0.02
U HD44226,6,0.02
U HD44245,6,0.02
U HD44253,6,0.02
U HD54019,6,0.02
U HD54791,6,0.02
U NR008929,6,0.02
U01 AG12531,6,0.02
U01 AR066160,6,0.02
U01 HL 67893,6,0.02
U01 HL67894,6,0.02
U01 HL67895,6,0.02
U01 HL67896,6,0.02
U01 HL67897,6,0.02
U01 HL67898,6,0.02
U01 HL67899,6,0.02
U01 HL67900,6,0.02
U01 HL67901,6,0.02
U01 MH057716,6,0.02
U01-HG-004729,6,0.02
U01-HG004446,6,0.02
U01-HG004729,6,0.02
U01-HG04424,6,0.02
U0164829,6,0.02
U01AG027669,6,0.02
U01HD051218,6,0.02
U01HD051256,6,0.02
U01HD051276,6,0.02
U01_AG09740-13S2,6,0.02
U1475000001,6,0.02
U54CA155626,6,0.02
U54GM115428,6,0.02
UL1 RR024146,6,0.02
UL1 RR024975-01,6,0.02
UL1 RR025005,6,0.02
UL1 RR025780,6,0.02
UL1 TR-000424,6,0.02
UL1 TR000128,6,0.02
UL1 TR001863,6,0.02
UL1-TR-001881,6,0.02
UL1RR025011,6,0.02
UL1TR000454,6,0.02
Y1-AG-4553-01,6,0.02
Z01 HD000641,6,0.02
Z99 HL999999,6,0.02
10271,5,0.017
17435,5,0.017
0535401T,5,0.017
058893/Z/99/A,5,0.017
069683/Z/02/Z,5,0.017
088158/Z/09/Z,5,0.017
1 F32 HL116151-01,5,0.017
